incident_id,application_id,opened_date,resolved_date,priority,severity,incident_category,caused_by_change,sla_breached,business_impact_hours
INC00039,APP016,2025-08-07,2025-08-20,4,Medium,Security,N,N,0.4
INC00040,APP004,2025-07-18,2025-07-19,3,Medium,Availability,N,Y,0.9
INC00041,APP028,2025-08-03,2025-08-03,2,Major,Access,N,N,1.6
INC00042,APP027,2025-10-28,2025-10-28,4,Low,Data,N,N,2.6
INC00043,APP040,2025-08-21,2025-08-21,3,Low,Integration,N,N,0.6
INC00044,APP007,2025-07-07,2025-07-08,3,Medium,Integration,N,N,1.5
INC00045,APP023,2026-02-01,2026-02-14,3,Medium,Performance,N,Y,0.2
INC00046,APP020,2026-04-26,2026-05-01,3,Low,Integration,N,Y,1.4
INC00047,APP039,2025-12-23,2025-12-23,3,Medium,Availability,N,N,2.5
INC00048,APP036,2025-07-28,2025-07-30,3,Medium,Security,N,Y,1.0
INC00049,APP031,2026-02-25,2026-03-02,3,Low,Integration,N,N,1.0
INC00050,APP007,2026-02-18,2026-02-18,4,Low,Performance,Y,N,0.7
INC00051,APP015,2026-02-24,2026-02-26,3,Low,Security,N,N,1.1
INC00052,APP026,2025-10-03,2025-10-03,4,Low,Availability,Y,N,0.1
INC00053,APP008,2025-09-11,2025-09-13,3,Low,Availability,Y,Y,0.6
INC00054,APP012,2025-10-21,2025-10-22,4,Low,Change-related,N,Y,0.6
INC00055,APP012,2025-11-12,2025-11-12,4,Medium,Data,Y,N,2.8
INC00056,APP020,2026-02-19,2026-02-24,3,Medium,Integration,N,N,0.2
INC00057,APP010,2025-09-05,2025-09-07,4,Low,Security,N,N,1.8
INC00058,APP016,2025-07-24,2025-07-26,4,Low,Change-related,N,N,0.7
INC00059,APP018,2025-09-03,2025-09-16,4,Medium,Security,Y,N,2.4
INC00060,APP040,2025-08-03,2025-08-06,2,Medium,Data,N,Y,4.2
INC00061,APP024,2026-03-27,2026-04-09,3,Low,Access,N,N,2.8
INC00062,APP038,2026-05-29,2026-05-30,1,High,Data,N,N,3.0
INC00063,APP028,2026-01-10,2026-01-15,3,Low,Integration,Y,Y,2.3
INC00064,APP019,2026-02-13,2026-02-15,3,Medium,Data,N,N,1.4
INC00065,APP028,2026-01-26,2026-02-08,3,Low,Access,N,Y,0.5
INC00066,APP015,2025-11-13,2025-11-18,3,Medium,Access,Y,N,2.8
INC00067,APP007,2025-08-30,2025-08-30,2,High,Access,N,N,3.4
INC00068,APP018,2025-10-06,2025-10-07,3,Low,Availability,N,N,2.5
INC00069,APP026,2026-01-24,2026-01-24,4,Low,Security,N,N,0.7
INC00070,APP014,2026-02-28,2026-03-05,2,Low,Security,N,N,9.6
INC00071,APP021,2025-10-05,2025-10-13,3,Medium,Data,N,N,0.1
INC00072,APP009,2026-04-22,2026-04-25,4,Medium,Data,N,N,0.7
INC00073,APP028,2026-01-23,2026-02-13,4,Low,Access,Y,N,2.4
INC00074,APP009,2025-09-17,2025-09-22,4,Low,Data,N,N,0.2
INC00075,APP025,2025-10-05,2025-10-10,3,Low,Security,N,Y,0.5
INC00076,APP036,2025-09-29,2025-10-07,1,Low,Availability,N,Y,1.3
INC00077,APP025,2025-11-23,2025-11-25,2,Major,Data,Y,N,6.5
INC00078,APP011,2025-12-15,2025-12-23,4,Low,Performance,Y,Y,1.6
INC00079,APP031,2025-08-05,2025-08-07,3,Medium,Change-related,N,N,1.3
INC00080,APP031,2025-09-20,2025-09-23,3,Medium,Integration,N,N,0.6
INC00081,APP010,2026-02-14,2026-02-17,2,High,Integration,N,N,5.8
INC00082,APP037,2025-07-21,2025-07-24,3,Low,Access,N,N,1.8
INC00083,APP012,2026-01-29,2026-02-06,3,Low,Data,N,N,1.7
INC00084,APP026,2025-07-23,2025-07-24,2,Medium,Security,N,Y,8.5
INC00085,APP014,2026-03-10,2026-03-31,3,Medium,Access,Y,Y,1.5
INC00086,APP021,2026-01-26,2026-01-29,3,Medium,Integration,Y,N,0.1
INC00087,APP030,2026-01-12,2026-01-20,3,Medium,Data,Y,Y,0.8
INC00088,APP009,2025-12-15,2025-12-28,3,Low,Data,Y,Y,1.6
INC00089,APP016,2026-02-10,2026-02-12,2,High,Performance,Y,Y,2.5
INC00090,APP008,2026-03-31,2026-04-01,4,Medium,Security,Y,N,0.8
INC00091,APP029,2025-12-31,2026-01-08,2,Major,Security,N,N,8.5
INC00092,APP034,2026-05-25,2026-05-26,3,Low,Security,N,N,0.2
INC00093,APP001,2025-07-25,2025-07-27,4,Medium,Access,N,Y,0.3
INC00094,APP027,2025-07-15,2025-07-20,4,Medium,Security,Y,Y,2.9
INC00095,APP007,2026-06-06,2026-06-07,2,Major,Data,Y,N,4.2
INC00096,APP013,2026-05-16,2026-05-21,2,Low,Data,Y,Y,3.0
INC00097,APP023,2025-12-13,2025-12-16,2,Medium,Availability,N,Y,5.8
INC00098,APP005,2026-06-02,2026-06-07,4,Medium,Availability,N,N,0.9
INC00099,APP039,2026-03-13,2026-03-14,4,Medium,Access,Y,N,1.0
INC00100,APP025,2025-09-07,2025-09-12,3,Low,Availability,N,Y,1.8
INC00101,APP038,2026-02-15,2026-02-17,3,Medium,Performance,Y,N,2.3
INC00102,APP008,2025-12-06,2025-12-09,2,High,Integration,Y,Y,2.1
INC00103,APP032,2025-11-29,2025-12-02,2,High,Security,Y,Y,11.1
INC00104,APP039,2026-02-13,2026-02-18,3,Medium,Access,N,N,2.4
INC00105,APP003,2026-03-24,2026-04-01,4,Low,Change-related,Y,Y,2.5
INC00106,APP022,2025-12-23,2026-01-13,3,Medium,Security,N,N,2.1
INC00107,APP015,2026-05-08,2026-05-29,4,Low,Performance,N,N,0.0
INC00108,APP032,2025-08-05,2025-08-05,4,Medium,Performance,N,Y,0.5
INC00109,APP036,2025-10-13,2025-10-13,2,Low,Security,N,N,2.4
INC00110,APP013,2025-11-03,2025-11-05,3,Low,Access,N,N,0.6
INC00111,APP031,2025-08-10,2025-08-15,4,Low,Data,N,N,1.3
INC00112,APP033,2026-05-09,2026-05-10,3,Low,Availability,N,N,2.6
INC00113,APP020,2026-05-01,2026-05-22,3,Medium,Access,N,N,0.9
INC00114,APP019,2026-01-09,2026-01-22,3,Medium,Access,N,N,1.4
INC00115,APP010,2025-10-06,2025-10-11,1,Medium,Data,N,N,11.3
INC00116,APP024,2026-01-13,2026-01-14,3,Low,Availability,Y,N,2.8
INC00117,APP011,2025-10-08,2025-10-11,4,Low,Integration,N,N,2.1
INC00118,APP004,2026-05-30,2026-06-07,3,Medium,Performance,N,Y,2.8
INC00119,APP024,2026-05-20,2026-05-20,3,Medium,Access,N,N,0.4
INC00120,APP016,2026-05-05,2026-05-06,3,Medium,Availability,Y,N,2.1
INC00121,APP025,2026-01-20,2026-01-21,3,Medium,Data,N,N,0.8
INC00122,APP020,2026-03-14,2026-03-22,4,Low,Security,N,N,2.6
INC00123,APP007,2026-05-22,2026-05-27,3,Medium,Access,N,N,1.2
INC00124,APP020,2025-07-04,2025-07-17,4,Medium,Availability,Y,N,1.3
INC00125,APP027,2026-06-01,2026-06-09,3,Medium,Performance,N,Y,2.1
INC00126,APP013,2026-03-07,2026-03-07,2,Low,Integration,N,Y,2.8
INC00127,APP012,2025-10-07,2025-10-15,3,Low,Security,Y,N,0.5
INC00128,APP019,2025-08-13,2025-08-16,3,Medium,Access,Y,N,0.7
INC00129,APP032,2025-08-21,2025-08-23,1,Major,Security,Y,Y,2.9
INC00130,APP001,2026-01-09,2026-01-12,3,Low,Data,N,N,1.3
INC00131,APP024,2025-12-23,2025-12-25,4,Low,Security,N,N,1.8
INC00132,APP023,2025-12-17,2025-12-17,4,Low,Change-related,N,N,2.5
INC00133,APP009,2025-07-14,2025-08-04,3,Low,Security,N,N,1.4
INC00134,APP031,2026-03-21,2026-03-23,3,Medium,Security,N,Y,1.9
INC00135,APP003,2025-12-14,2025-12-16,3,Low,Data,Y,N,1.3
INC00136,APP031,2026-06-03,2026-06-04,4,Low,Access,N,N,0.4
INC00137,APP034,2026-04-19,2026-05-10,4,Medium,Performance,N,Y,0.9
INC00138,APP036,2026-02-25,2026-02-28,2,Major,Data,N,Y,2.9
INC00139,APP006,2025-08-24,2025-08-24,3,Medium,Access,N,N,0.7
INC00140,APP017,2026-06-06,2026-06-07,3,Medium,Integration,N,Y,2.4
INC00141,APP022,2025-10-23,2025-10-24,4,Low,Data,N,N,1.9
INC00142,APP036,2026-02-09,2026-02-11,4,Low,Availability,N,Y,0.3
INC00143,APP022,2026-04-30,2026-05-01,4,Low,Performance,N,N,1.7
INC00144,APP001,2025-12-07,2025-12-12,2,High,Change-related,N,N,4.2
INC00145,APP024,2025-09-03,2025-09-05,3,Medium,Data,Y,N,2.6
INC00146,APP021,2025-09-13,2025-09-16,4,Medium,Data,N,Y,1.8
INC00147,APP010,2026-06-06,2026-06-06,4,Low,Access,Y,N,3.0
INC00148,APP037,2026-03-02,2026-03-04,3,Low,Access,N,Y,2.9
INC00149,APP022,2025-09-17,2025-09-19,4,Medium,Security,Y,Y,2.6
INC00150,APP026,2025-12-01,2025-12-02,4,Medium,Integration,N,N,1.3
INC00151,APP031,2025-12-26,2026-01-03,4,Medium,Integration,N,N,2.1
INC00152,APP013,2026-04-07,2026-04-08,3,Low,Change-related,Y,N,0.9
INC00153,APP011,2026-04-22,2026-04-30,2,Low,Access,N,Y,3.0
INC00154,APP013,2026-05-30,2026-06-07,1,Major,Security,N,N,11.4
INC00155,APP028,2025-09-25,2025-09-26,4,Low,Data,N,Y,0.4
INC00156,APP033,2026-05-29,2026-06-06,3,Medium,Security,N,Y,0.1
INC00157,APP016,2026-01-20,2026-01-21,3,Low,Change-related,Y,N,2.6
INC00158,APP025,2025-11-18,2025-12-01,3,Low,Availability,Y,Y,0.2
INC00159,APP032,2026-05-25,2026-06-15,3,Medium,Availability,N,N,2.1
INC00160,APP007,2026-04-30,2026-05-03,2,Low,Access,N,Y,4.2
INC00161,APP035,2025-10-03,2025-10-03,3,Low,Integration,N,Y,1.6
INC00162,APP038,2026-04-02,2026-04-03,3,Medium,Security,Y,Y,2.6
INC00163,APP012,2025-07-03,2025-07-08,3,Medium,Availability,N,N,0.6
INC00164,APP011,2025-08-14,2025-08-14,3,Medium,Availability,N,N,2.9
INC00165,APP011,2026-02-02,2026-02-02,4,Medium,Access,Y,N,2.7
INC00166,APP019,2026-06-03,2026-06-04,3,Low,Security,N,N,2.7
INC00167,APP023,2026-05-07,2026-05-09,3,Medium,Security,Y,Y,0.1
INC00168,APP010,2025-12-01,2025-12-03,4,Medium,Integration,N,N,1.1
INC00169,APP009,2026-05-15,2026-06-05,3,Low,Access,N,N,2.7
INC00170,APP026,2026-02-19,2026-02-21,2,Low,Security,N,Y,1.3
INC00171,APP018,2026-05-21,2026-05-23,3,Low,Integration,N,N,2.5
INC00172,APP021,2026-02-08,2026-02-10,3,Medium,Access,Y,N,0.3
INC00173,APP036,2026-01-25,2026-02-02,2,Major,Access,N,N,2.2
INC00174,APP015,2025-11-18,2025-11-21,1,High,Data,Y,Y,2.5
INC00175,APP020,2026-04-28,2026-05-11,4,Medium,Integration,N,N,1.7
INC00176,APP019,2026-04-09,2026-04-10,3,Medium,Performance,N,N,0.5
INC00177,APP035,2026-04-09,2026-04-17,3,Low,Integration,N,N,0.0
INC00178,APP033,2025-09-18,2025-09-19,3,Low,Integration,N,Y,2.8
INC00179,APP024,2025-11-05,2025-11-13,3,Low,Performance,N,N,2.4
INC00180,APP033,2025-11-24,2025-12-02,3,Medium,Access,Y,N,1.2
INC00181,APP021,2025-08-16,2025-08-17,3,Medium,Availability,N,N,0.2
INC00182,APP019,2026-04-10,2026-04-10,4,Low,Security,N,N,1.5
INC00183,APP035,2025-09-02,2025-09-04,3,Medium,Security,N,N,1.6
INC00184,APP023,2025-11-03,2025-11-24,4,Medium,Integration,N,Y,2.0
INC00185,APP034,2025-10-24,2025-10-26,2,High,Integration,N,Y,5.4
INC00186,APP025,2025-09-26,2025-09-27,3,Low,Security,N,N,2.6
INC00187,APP008,2025-11-26,2025-11-29,3,Low,Performance,Y,N,1.9
INC00188,APP026,2025-10-20,2025-11-10,4,Medium,Data,N,Y,1.1
INC00189,APP040,2026-02-21,2026-02-26,3,Medium,Availability,N,N,0.6
INC00190,APP023,2025-07-05,2025-07-08,2,High,Availability,N,N,1.9
INC00191,APP032,2025-07-04,2025-07-12,2,Medium,Performance,N,N,4.8
INC00192,APP024,2026-02-05,2026-02-26,4,Low,Availability,N,N,2.5
INC00193,APP011,2025-09-10,2025-09-18,3,Medium,Access,N,Y,0.6
INC00194,APP003,2025-09-07,2025-09-12,3,Medium,Performance,N,N,2.9
INC00195,APP018,2025-08-30,2025-09-20,3,Low,Change-related,N,N,2.3
INC00196,APP026,2026-03-14,2026-03-22,3,Medium,Availability,Y,Y,0.4
INC00197,APP023,2026-03-14,2026-03-22,1,High,Availability,N,N,11.7
INC00198,APP001,2026-02-08,2026-02-11,3,Low,Availability,N,Y,1.9
INC00199,APP033,2025-10-04,2025-10-05,3,Low,Security,N,N,2.5
INC00200,APP013,2026-02-28,2026-03-01,3,Medium,Performance,N,Y,0.4
INC00201,APP026,2025-07-20,2025-07-22,3,Medium,Data,Y,N,0.6
INC00202,APP004,2026-01-11,2026-01-14,3,Medium,Performance,N,N,1.4
INC00203,APP033,2026-02-04,2026-02-07,3,Medium,Access,N,N,2.8
INC00204,APP027,2025-11-04,2025-11-04,3,Medium,Availability,Y,Y,2.0
INC00205,APP021,2025-10-17,2025-10-20,3,Medium,Data,N,N,2.8
INC00206,APP024,2025-12-19,2025-12-20,3,Medium,Security,N,N,1.1
INC00207,APP024,2026-04-28,2026-05-03,3,Medium,Security,N,Y,1.8
INC00208,APP006,2025-08-24,2025-09-01,2,Major,Availability,N,Y,8.6
INC00209,APP007,2025-08-08,2025-08-13,4,Low,Security,N,Y,1.6
INC00210,APP010,2025-07-23,2025-07-26,2,Medium,Change-related,N,N,5.7
INC00211,APP008,2026-02-09,2026-02-12,2,Major,Performance,N,Y,3.8
INC00212,APP037,2025-08-01,2025-08-03,4,Low,Data,Y,Y,1.3
INC00213,APP033,2026-01-13,2026-01-21,3,Low,Integration,N,Y,0.6
INC00214,APP011,2026-04-19,2026-04-27,2,Major,Change-related,N,N,4.0
INC00215,APP015,2025-11-29,2025-12-20,3,Medium,Performance,N,Y,1.6
INC00216,APP019,2025-07-21,2025-07-24,3,Medium,Access,Y,N,2.9
INC00217,APP014,2026-03-31,2026-04-08,2,Medium,Security,N,N,1.5
INC00218,APP036,2025-11-13,2025-11-21,3,Low,Access,Y,N,2.4
INC00219,APP023,2025-10-21,2025-10-24,3,Medium,Access,Y,N,2.0
INC00220,APP038,2025-08-24,2025-09-01,3,Low,Change-related,N,N,0.7
INC00221,APP018,2025-10-13,2025-10-21,3,Medium,Data,N,N,2.2
INC00222,APP024,2025-09-14,2025-09-15,4,Low,Performance,N,Y,2.4
INC00223,APP012,2025-10-05,2025-10-06,3,Low,Availability,N,Y,2.7
INC00224,APP026,2026-05-08,2026-05-09,2,Major,Data,N,N,11.0
INC00225,APP026,2025-08-21,2025-08-22,3,Medium,Integration,Y,N,1.2
INC00226,APP008,2025-07-07,2025-07-07,4,Medium,Performance,Y,N,0.4
INC00227,APP039,2025-07-07,2025-07-07,4,Medium,Integration,N,N,0.3
INC00228,APP009,2026-03-03,2026-03-16,4,Medium,Access,N,N,0.5
INC00229,APP004,2026-04-05,2026-04-26,3,Medium,Availability,Y,Y,1.6
INC00230,APP007,2026-03-19,2026-03-27,4,Medium,Availability,N,Y,0.7
INC00231,APP025,2025-09-14,2025-09-17,3,Medium,Security,N,N,2.7
INC00232,APP008,2026-03-09,2026-03-09,2,High,Availability,N,N,1.4
INC00233,APP022,2025-08-30,2025-08-31,3,Medium,Integration,N,Y,1.3
INC00234,APP022,2026-05-04,2026-05-07,2,High,Security,N,N,4.5
INC00235,APP007,2025-11-16,2025-11-21,4,Low,Change-related,Y,Y,2.6
INC00236,APP010,2026-06-01,2026-06-02,2,Low,Data,N,Y,1.8
INC00237,APP028,2025-11-20,2025-11-22,2,High,Performance,N,N,4.2
INC00238,APP028,2026-03-04,2026-03-12,3,Low,Performance,N,N,1.3
INC00239,APP032,2026-04-02,2026-04-23,3,Medium,Data,Y,N,2.1
INC00240,APP034,2026-04-22,2026-04-24,4,Medium,Performance,N,Y,0.6
INC00241,APP002,2026-01-02,2026-01-03,3,Medium,Availability,N,N,2.5
INC00242,APP009,2025-11-28,2025-12-19,3,Low,Performance,N,Y,0.2
INC00243,APP009,2025-08-30,2025-08-31,4,Low,Security,Y,N,2.9
INC00244,APP024,2025-07-28,2025-07-29,3,Low,Change-related,N,Y,0.4
INC00245,APP010,2025-08-10,2025-08-10,3,Low,Performance,N,N,2.2
INC00246,APP034,2025-12-01,2025-12-06,3,Low,Change-related,Y,N,0.3
INC00247,APP004,2026-05-25,2026-05-26,1,High,Availability,N,N,8.3
INC00248,APP030,2026-04-10,2026-04-13,3,Low,Security,N,N,2.8
INC00249,APP018,2025-08-17,2025-08-18,3,Medium,Data,Y,Y,1.2
INC00250,APP036,2026-05-06,2026-05-19,4,Low,Access,N,N,0.5
INC00251,APP024,2026-05-28,2026-05-31,3,Medium,Availability,Y,N,1.8
INC00252,APP022,2025-07-15,2025-07-16,2,Major,Availability,N,Y,9.2
INC00253,APP020,2025-10-05,2025-10-05,3,Medium,Access,Y,N,1.7
INC00254,APP037,2026-03-05,2026-03-07,1,Major,Access,Y,N,9.1
INC00255,APP026,2026-03-14,2026-03-17,2,Medium,Performance,Y,N,5.2
INC00256,APP033,2025-08-21,2025-08-22,3,Medium,Integration,N,N,1.8
INC00257,APP003,2025-11-26,2025-12-04,2,Low,Availability,Y,Y,10.7
INC00258,APP010,2025-09-21,2025-10-12,4,Low,Data,N,N,0.9
INC00259,APP040,2026-02-06,2026-02-14,1,Low,Performance,N,Y,11.5
INC00260,APP037,2026-05-18,2026-05-19,4,Medium,Performance,N,N,2.6
INC00261,APP006,2026-03-13,2026-03-15,2,High,Access,N,Y,3.7
INC00262,APP024,2025-12-28,2025-12-29,2,Low,Access,N,N,9.3
INC00263,APP029,2026-05-29,2026-05-30,4,Low,Availability,N,N,1.2
INC00264,APP040,2025-09-05,2025-09-26,3,Low,Access,Y,N,1.2
INC00265,APP029,2025-11-12,2025-11-12,4,Medium,Security,N,N,2.5
INC00266,APP001,2025-09-18,2025-09-21,4,Low,Performance,N,Y,0.7
INC00267,APP030,2025-08-17,2025-08-30,3,Low,Availability,Y,Y,2.2
INC00268,APP026,2026-02-07,2026-02-09,2,Major,Access,N,N,2.9
INC00269,APP031,2025-08-28,2025-08-28,3,Medium,Data,N,N,0.6
INC00270,APP037,2025-07-17,2025-07-25,4,Medium,Change-related,N,N,2.9
INC00271,APP014,2025-07-28,2025-07-28,2,Low,Access,N,Y,1.5
INC00272,APP005,2025-11-18,2025-11-21,3,Low,Change-related,N,N,0.6
INC00273,APP017,2025-10-03,2025-10-04,4,Low,Access,N,Y,0.6
INC00274,APP027,2026-03-04,2026-03-05,3,Low,Access,N,Y,1.7
INC00275,APP039,2025-10-10,2025-10-18,2,High,Access,N,Y,2.2
INC00276,APP030,2025-09-14,2025-09-19,3,Medium,Change-related,N,N,1.6
INC00277,APP001,2026-02-16,2026-02-17,4,Low,Security,Y,Y,0.7
INC00278,APP013,2026-02-01,2026-02-02,3,Low,Performance,N,Y,2.9
INC00279,APP037,2025-07-08,2025-07-13,3,Medium,Access,N,N,2.5
INC00280,APP008,2026-03-13,2026-03-26,3,Low,Data,N,N,2.5
INC00281,APP028,2026-03-25,2026-03-30,4,Medium,Performance,N,N,1.1
INC00282,APP036,2026-05-01,2026-05-04,2,Low,Access,N,N,8.6
INC00283,APP007,2025-08-14,2025-08-15,4,Medium,Security,Y,N,2.8
INC00284,APP007,2026-03-12,2026-04-02,4,Medium,Security,N,N,1.7
INC00285,APP003,2025-11-26,2025-11-28,4,Medium,Change-related,N,N,1.1
INC00286,APP013,2026-02-26,2026-03-03,4,Low,Data,N,Y,2.8
INC00287,APP015,2026-03-17,2026-03-20,3,Low,Change-related,N,N,0.7
INC00288,APP027,2025-07-17,2025-07-18,1,Medium,Change-related,N,N,2.5
INC00289,APP037,2026-02-06,2026-02-14,3,Medium,Integration,N,Y,2.4
INC00290,APP037,2026-02-05,2026-02-13,2,Low,Security,N,N,10.9
INC00291,APP034,2025-09-20,2025-09-21,3,Medium,Integration,Y,N,1.7
INC00292,APP026,2026-05-18,2026-06-08,4,Medium,Access,N,Y,0.3
INC00293,APP028,2025-07-06,2025-07-07,3,Medium,Integration,Y,N,1.1
INC00294,APP009,2026-02-18,2026-02-23,3,Medium,Performance,N,N,0.6
INC00295,APP016,2026-01-10,2026-01-10,4,Low,Availability,N,N,0.1
INC00296,APP038,2025-08-22,2025-08-27,2,Major,Availability,N,N,3.5
INC00297,APP012,2025-08-17,2025-08-19,2,High,Data,Y,N,9.6
INC00298,APP027,2025-08-07,2025-08-08,3,Medium,Security,N,N,2.7
INC00299,APP029,2025-09-21,2025-09-21,2,High,Security,Y,Y,11.7
INC00300,APP023,2026-03-05,2026-03-26,4,Medium,Performance,N,Y,0.6
INC00301,APP002,2026-04-01,2026-04-06,1,High,Performance,N,Y,10.8
INC00302,APP002,2025-12-15,2025-12-15,2,High,Access,N,N,2.8
INC00303,APP006,2025-12-26,2025-12-29,3,Low,Security,N,N,1.5
INC00304,APP026,2025-10-07,2025-10-09,3,Low,Data,Y,N,2.4
INC00305,APP038,2025-12-07,2025-12-08,2,Low,Data,N,N,7.4
INC00306,APP018,2025-12-11,2025-12-19,3,Low,Performance,N,N,2.7
INC00307,APP005,2026-02-16,2026-02-16,2,Medium,Integration,N,N,7.4
INC00308,APP034,2025-12-28,2025-12-29,3,Medium,Change-related,N,N,2.4
INC00309,APP023,2025-11-03,2025-11-11,2,Medium,Access,N,N,1.9
INC00310,APP021,2025-07-06,2025-07-08,3,Low,Integration,N,Y,1.7
INC00311,APP025,2025-11-23,2025-12-14,3,Medium,Availability,N,N,1.8
INC00312,APP005,2026-04-20,2026-04-28,4,Low,Access,N,Y,0.6
INC00313,APP032,2026-03-13,2026-03-15,1,Low,Availability,Y,N,2.5
INC00314,APP021,2026-04-29,2026-04-29,3,Low,Availability,Y,N,0.9
INC00315,APP026,2025-07-19,2025-08-09,4,Medium,Access,Y,Y,1.4
INC00316,APP027,2025-12-02,2025-12-07,3,Low,Availability,N,N,1.8
INC00317,APP026,2025-11-30,2025-12-13,3,Low,Change-related,Y,N,2.8
INC00318,APP007,2025-07-15,2025-07-15,2,High,Availability,N,N,3.1
INC00319,APP006,2025-10-06,2025-10-11,3,Medium,Security,Y,N,2.6
INC00320,APP003,2025-08-26,2025-08-28,1,Major,Access,N,N,3.6
INC00321,APP011,2025-09-09,2025-09-10,3,Medium,Access,N,N,2.7
INC00322,APP027,2026-05-23,2026-05-24,3,Medium,Integration,N,N,1.5
INC00323,APP018,2025-12-12,2025-12-25,4,Medium,Availability,N,N,2.1
INC00324,APP023,2026-04-12,2026-04-14,4,Medium,Security,Y,Y,2.9
INC00325,APP004,2025-10-17,2025-10-18,1,Low,Change-related,N,Y,6.1
INC00326,APP022,2025-10-15,2025-11-05,4,Low,Change-related,N,N,1.4
INC00327,APP010,2026-03-16,2026-03-17,2,High,Access,N,N,10.5
INC00328,APP033,2025-10-12,2025-10-14,4,Medium,Access,N,Y,2.1
INC00329,APP037,2026-05-28,2026-05-31,2,Major,Security,Y,Y,0.7
INC00330,APP030,2025-10-04,2025-10-17,3,Low,Access,N,Y,2.8
INC00331,APP006,2025-12-29,2025-12-30,3,Low,Integration,N,N,1.0
INC00332,APP029,2025-11-17,2025-11-17,3,Low,Security,N,Y,0.9
INC00333,APP026,2025-09-29,2025-10-20,3,Low,Integration,N,Y,2.0
INC00334,APP016,2025-08-26,2025-08-26,2,Major,Integration,N,Y,1.3
INC00335,APP007,2025-11-19,2025-11-24,2,Low,Data,N,Y,3.0
INC00336,APP018,2026-03-11,2026-03-12,2,Medium,Security,N,N,8.9
INC00337,APP007,2025-10-03,2025-10-16,3,Low,Change-related,N,Y,0.9
INC00338,APP005,2025-09-24,2025-09-27,2,High,Availability,N,N,4.3
INC00339,APP012,2025-11-13,2025-11-14,4,Medium,Integration,N,N,1.7
INC00340,APP032,2025-11-04,2025-11-04,3,Medium,Integration,N,Y,1.6
INC00341,APP011,2025-09-14,2025-09-15,4,Low,Change-related,N,N,1.5
INC00342,APP023,2026-04-06,2026-04-19,3,Low,Access,N,Y,2.5
